sellers_locality,lat,lon
Aasiaat,68.7078453,-52.8523477
Akunnaaq,68.74312431,-52.33635385
Alluitsup Paa,60.46378988,-45.56754402
Arsuk,61.18496411,-48.43538876
Atammik,64.80610588,-52.17521818
Attu,68.3095619,-53.45600227
Eqalugaarsuit,60.6253013,-45.90915804
Igaliku,60.99160668,-45.43366083
Iginniarfik,68.14853935,-53.17570805
Ikamiut,68.63518842,-51.82739338
"Ikerasaarsuk, Kangaatsiaq",68.13989251,-53.44989759
"Ikerasaarsuk, Upernavik",73.5272221,-56.42189331
Ikerasak,70.50211508,-51.29979512
Ilimanaq,69.07805646,-51.11457398
Illorsuit,71.23972222,-53.54929055
Ilulissat,69.21198334,-51.09615415
Innaarsuit,73.19800918,-56.01493732
Kangaamiut,65.82800664,-53.34688386
Kangaatsiaq,68.3095619,-53.45600227
Kangerluk,69.48587245,-53.94646516
Kangersuatsiaq,72.3791134,-55.54336915
Kapisillit,64.42803294,-50.26895424
Kitsissuarsuit,68.85952923,-53.11863439
Kullorsuaq,74.57753368,-57.22874653
Kulusuk,65.56854907,-37.18005379
Kuummiut,65.88283141,-37.01369998
Maniitsoq,65.42032615,-52.88704893
Naajaat,73.14213494,-55.81567168
Nanortalik,60.15046472,-45.24145071
Napasoq,65.05423716,-52.38256093
Narsaq,60.91556595,-46.04162008
Narsaq Kujalleq,60.00325425,-44.66366109
Narsarsuaq,61.15719052,-45.42278728
Niaqornaarsuk,68.23611517,-52.85875263
Niaqornat,70.79002082,-53.66223672
Nutaarmiut,73.51609827,-56.43054847
Nuugaatsiaq,71.53682905,-53.19612101
Nuuk,64.17953206,-51.72590677
Oqaatsut,69.34191375,-51.00449772
Paamiut,62.00511181,-49.6487588
Qaanaaq,77.46714195,-69.22230166
Qaarsut,70.72891292,-52.64059264
Qaqortoq,60.72112142,-46.03888905
Qasigiannguit,68.82368968,-51.19543573
Qassimiut,60.7797355,-47.16002468
Qeqertaq,69.99778088,-51.30519353
Qeqertarsuaq,69.25260353,-53.52277641
Qeqertarsuatsiaat,63.08674123,-50.67681806
Qeqertat,77.49445418,-66.67101974
Saattut,70.80922489,-51.6277346
Saqqaq,70.00983468,-51.95939141
Sarfannguit,66.89591565,-52.86233304
Savissivik,76.01828138,-65.0203611
Sermiligaaq,65.91321849,-36.37990668
Siorapaluk,77.79478301,-70.5236472
Sisimiut,66.93693722,-53.67020718
Tasiilaq,65.60205929,-37.63517879
Tasiusaq,73.37317566,-56.05904195
Tiniteqilaaq,65.88236357,-37.76810348
Ukkusissat,71.04994753,-51.88932583
Upernavik,72.78347803,-56.13741849
Upernavik Kujalleq,72.15714052,-55.53468012
Uummannaq,70.6823702,-52.13489108
